source,target,weight,type,electrode
e0_t108,e0_t109,0.3333,intra,FP1
e0_t109,e0_t110,0.4667,intra,FP1
e0_t175,e0_t176,0.2,intra,FP1
e0_t176,e0_t177,0.2,intra,FP1
e0_t177,e0_t178,0.2,intra,FP1
e0_t212,e0_t213,0.3333,intra,FP1
e0_t213,e0_t214,0.3333,intra,FP1
e0_t214,e0_t215,0.4,intra,FP1
e0_t48,e0_t49,0.2667,intra,FP1
e0_t49,e0_t50,0.2667,intra,FP1
e0_t200,e0_t201,0.3333,intra,FP1
e0_t201,e0_t202,0.3333,intra,FP1
e0_t228,e0_t229,0.3333,intra,FP1
e0_t237,e0_t238,0.4,intra,FP1
e0_t238,e0_t239,0.2667,intra,FP1
e0_t239,e0_t240,0.3333,intra,FP1
e0_t62,e0_t63,0.3333,intra,FP1
e0_t106,e0_t107,0.2,intra,FP1
e0_t107,e0_t108,0.2667,intra,FP1
e0_t112,e0_t113,0.3333,intra,FP1
e0_t121,e0_t122,0.4,intra,FP1
e0_t122,e0_t123,0.3333,intra,FP1
e0_t143,e0_t144,0.2,intra,FP1
e0_t157,e0_t158,0.2,intra,FP1
e0_t236,e0_t237,0.6,intra,FP1
e0_t8,e0_t9,0.2,intra,FP1
e0_t61,e0_t62,0.2,intra,FP1
e0_t94,e0_t95,0.2,intra,FP1
e0_t110,e0_t111,0.2,intra,FP1
e0_t120,e0_t121,0.3333,intra,FP1
e0_t173,e0_t174,0.2,intra,FP1
e0_t215,e0_t216,0.4,intra,FP1
e0_t15,e0_t16,0.2,intra,FP1
e0_t16,e0_t17,0.2,intra,FP1
e0_t25,e0_t26,0.3333,intra,FP1
e0_t34,e0_t35,0.3333,intra,FP1
e0_t35,e0_t36,0.2,intra,FP1
e0_t91,e0_t92,0.3333,intra,FP1
e0_t92,e0_t93,0.3333,intra,FP1
e0_t119,e0_t120,0.3333,intra,FP1
e0_t123,e0_t124,0.2667,intra,FP1
e0_t124,e0_t125,0.3333,intra,FP1
e0_t178,e0_t179,0.2,intra,FP1
e0_t181,e0_t182,0.2667,intra,FP1
e0_t182,e0_t183,0.3333,intra,FP1
e0_t105,e0_t106,0.3333,intra,FP1
e0_t220,e0_t221,0.2,intra,FP1
e0_t17,e0_t18,0.2667,intra,FP1
e0_t18,e0_t19,0.2667,intra,FP1
e0_t39,e0_t40,0.2667,intra,FP1
e0_t40,e0_t41,0.2667,intra,FP1
e0_t41,e0_t42,0.2667,intra,FP1
e0_t60,e0_t61,0.2667,intra,FP1
e0_t63,e0_t64,0.2667,intra,FP1
e0_t64,e0_t65,0.2,intra,FP1
e0_t65,e0_t66,0.2,intra,FP1
e0_t184,e0_t185,0.2667,intra,FP1
e0_t185,e0_t186,0.3333,intra,FP1
e0_t186,e0_t187,0.2667,intra,FP1
e0_t98,e0_t99,0.2,intra,FP1
e0_t99,e0_t100,0.2667,intra,FP1
e0_t168,e0_t169,0.4,intra,FP1
e0_t170,e0_t171,0.4,intra,FP1
e0_t187,e0_t188,0.2667,intra,FP1
e0_t188,e0_t189,0.2667,intra,FP1
e0_t191,e0_t192,0.4,intra,FP1
e0_t192,e0_t193,0.2667,intra,FP1
e0_t202,e0_t203,0.2667,intra,FP1
e0_t203,e0_t204,0.2,intra,FP1
e0_t204,e0_t205,0.4,intra,FP1
e0_t205,e0_t206,0.3333,intra,FP1
e0_t211,e0_t212,0.4667,intra,FP1
e0_t219,e0_t220,0.2667,intra,FP1
e0_t222,e0_t223,0.2667,intra,FP1
e0_t223,e0_t224,0.2,intra,FP1
e0_t224,e0_t225,0.3333,intra,FP1
e0_t227,e0_t228,0.2667,intra,FP1
e0_t229,e0_t230,0.3333,intra,FP1
e0_t232,e0_t233,0.2667,intra,FP1
e0_t233,e0_t234,0.2667,intra,FP1
e0_t234,e0_t235,0.2667,intra,FP1
e0_t240,e0_t241,0.2,intra,FP1
e0_t247,e0_t248,0.2667,intra,FP1
e0_t248,e0_t249,0.3333,intra,FP1
e0_t250,e0_t251,0.2,intra,FP1
e0_t251,e0_t252,0.3333,intra,FP1
e0_t252,e0_t253,0.2,intra,FP1
e0_t0,e0_t1,0.2,intra,FP1
e0_t11,e0_t12,0.2,intra,FP1
e0_t23,e0_t24,0.2,intra,FP1
e0_t24,e0_t25,0.2667,intra,FP1
e0_t27,e0_t28,0.2,intra,FP1
e0_t28,e0_t29,0.2667,intra,FP1
