source,target,weight,type,electrode
e2_t253,e2_t254,0.2,intra,F7
e2_t250,e2_t251,0.2,intra,F7
e2_t6,e2_t7,0.2,intra,F7
e2_t7,e2_t8,0.2,intra,F7
e2_t201,e2_t202,0.2,intra,F7
e3_t24,e3_t25,0.2,intra,F3
e3_t25,e3_t26,0.2,intra,F3
e3_t56,e3_t57,0.4,intra,F3
e3_t59,e3_t60,0.2667,intra,F3
e3_t119,e3_t120,0.2,intra,F3
e3_t120,e3_t121,0.2667,intra,F3
e3_t139,e3_t140,0.2667,intra,F3
e3_t140,e3_t141,0.2667,intra,F3
e3_t187,e3_t188,0.2667,intra,F3
e3_t235,e3_t236,0.2667,intra,F3
e3_t236,e3_t237,0.2667,intra,F3
e3_t75,e3_t76,0.2,intra,F3
e3_t107,e3_t108,0.2,intra,F3
e3_t114,e3_t115,0.2,intra,F3
e3_t168,e3_t169,0.2667,intra,F3
e3_t188,e3_t189,0.2667,intra,F3
e3_t248,e3_t249,0.2,intra,F3
e3_t249,e3_t250,0.2,intra,F3
e3_t40,e3_t41,0.3333,intra,F3
e3_t60,e3_t61,0.2,intra,F3
e3_t91,e3_t92,0.4667,intra,F3
e3_t92,e3_t93,0.2667,intra,F3
e3_t123,e3_t124,0.2,intra,F3
e3_t152,e3_t153,0.2,intra,F3
e3_t136,e3_t137,0.2,intra,F3
e3_t155,e3_t156,0.3333,intra,F3
e3_t156,e3_t157,0.2,intra,F3
e3_t104,e3_t105,0.2,intra,F3
e3_t124,e3_t125,0.2667,intra,F3
e4_t181,e4_t182,0.2,intra,FZ
e4_t222,e4_t223,0.2,intra,FZ
e4_t223,e4_t224,0.2,intra,FZ
e4_t224,e4_t225,0.2,intra,FZ
e4_t87,e4_t88,0.2,intra,FZ
e4_t88,e4_t89,0.2,intra,FZ
e5_t92,e5_t93,0.2667,intra,F4
e5_t169,e5_t170,0.2,intra,F4
e5_t215,e5_t216,0.2,intra,F4
e5_t216,e5_t217,0.2,intra,F4
e5_t217,e5_t218,0.2667,intra,F4
e5_t233,e5_t234,0.2,intra,F4
e5_t156,e5_t157,0.2,intra,F4
e5_t44,e5_t45,0.2,intra,F4
e5_t204,e5_t205,0.2,intra,F4
e6_t253,e6_t254,0.4667,intra,F8
e6_t9,e6_t10,0.2667,intra,F8
e6_t124,e6_t125,0.3333,intra,F8
e6_t173,e6_t174,0.2,intra,F8
e6_t180,e6_t181,0.2,intra,F8
e6_t185,e6_t186,0.2,intra,F8
e6_t188,e6_t189,0.3333,intra,F8
e6_t189,e6_t190,0.2667,intra,F8
e6_t190,e6_t191,0.2,intra,F8
e6_t193,e6_t194,0.2667,intra,F8
e6_t200,e6_t201,0.2,intra,F8
e6_t201,e6_t202,0.3333,intra,F8
e6_t202,e6_t203,0.3333,intra,F8
e6_t230,e6_t231,0.2,intra,F8
e6_t252,e6_t253,0.4,intra,F8
e6_t254,e6_t255,0.2667,intra,F8
e6_t13,e6_t14,0.2,intra,F8
e6_t14,e6_t15,0.2,intra,F8
e6_t25,e6_t26,0.2667,intra,F8
e6_t26,e6_t27,0.2,intra,F8
e6_t92,e6_t93,0.2,intra,F8
e6_t93,e6_t94,0.2,intra,F8
e6_t125,e6_t126,0.2667,intra,F8
e6_t178,e6_t179,0.2,intra,F8
e6_t204,e6_t205,0.2667,intra,F8
e6_t205,e6_t206,0.2,intra,F8
e6_t206,e6_t207,0.2,intra,F8
e6_t60,e6_t61,0.2,intra,F8
e6_t192,e6_t193,0.2,intra,F8
e6_t233,e6_t234,0.2,intra,F8
e6_t153,e6_t154,0.2,intra,F8
e7_t8,e7_t9,0.4,intra,T7
e7_t27,e7_t28,0.2,intra,T7
e7_t28,e7_t29,0.3333,intra,T7
e7_t29,e7_t30,0.2667,intra,T7
e7_t91,e7_t92,0.4,intra,T7
e7_t92,e7_t93,0.4,intra,T7
e7_t155,e7_t156,0.2667,intra,T7
e7_t156,e7_t157,0.4,intra,T7
e7_t187,e7_t188,0.2667,intra,T7
e7_t216,e7_t217,0.3333,intra,T7
e7_t217,e7_t218,0.2,intra,T7
e7_t220,e7_t221,0.2667,intra,T7
e7_t248,e7_t249,0.4,intra,T7
e7_t24,e7_t25,0.2,intra,T7
e7_t88,e7_t89,0.2667,intra,T7
e7_t89,e7_t90,0.2667,intra,T7
e7_t99,e7_t100,0.2,intra,T7
e7_t168,e7_t169,0.3333,intra,T7
e7_t183,e7_t184,0.2,intra,T7
e7_t184,e7_t185,0.2,intra,T7
e7_t247,e7_t248,0.2,intra,T7
e7_t251,e7_t252,0.2,intra,T7
e7_t252,e7_t253,0.3333,intra,T7
e7_t9,e7_t10,0.2667,intra,T7
e7_t59,e7_t60,0.2,intra,T7
e7_t60,e7_t61,0.3333,intra,T7
e7_t75,e7_t76,0.3333,intra,T7
e7_t76,e7_t77,0.2667,intra,T7
e7_t139,e7_t140,0.2,intra,T7
e7_t140,e7_t141,0.2,intra,T7
e7_t152,e7_t153,0.2,intra,T7
e7_t153,e7_t154,0.2,intra,T7
