id,x,y,degree,electrode,electrode_id,phase,timepoint
e0_t0,2500.0,170.0,0.1333,FP1,0,pre,0
e0_t1,2501.96,170.02,0.0,FP1,0,pre,1
e0_t2,2503.93,170.1,0.0,FP1,0,pre,2
e0_t3,2505.89,170.22,0.0,FP1,0,pre,3
e0_t4,2507.84,170.39,0.0,FP1,0,pre,4
e0_t5,2509.79,170.6,0.0,FP1,0,pre,5
e0_t6,2511.74,170.87,0.0,FP1,0,pre,6
e0_t7,2513.68,171.18,0.0,FP1,0,pre,7
e0_t8,2515.61,171.54,0.0,FP1,0,pre,8
e0_t9,2517.53,171.94,0.0,FP1,0,pre,9
e0_t10,2519.44,172.4,0.0,FP1,0,pre,10
e0_t11,2521.34,172.9,0.0,FP1,0,pre,11
e0_t12,2523.22,173.44,0.0,FP1,0,pre,12
e0_t13,2525.09,174.04,0.0,FP1,0,pre,13
e0_t14,2526.95,174.68,0.0,FP1,0,pre,14
e0_t15,2528.79,175.36,0.0,FP1,0,pre,15
e0_t16,2530.61,176.09,0.0,FP1,0,pre,16
e0_t17,2532.42,176.86,0.0,FP1,0,pre,17
e0_t18,2534.2,177.68,0.0,FP1,0,pre,18
e0_t19,2535.97,178.54,0.0,FP1,0,pre,19
e0_t20,2537.71,179.45,0.0,FP1,0,pre,20
e0_t21,2539.43,180.39,0.0,FP1,0,pre,21
e0_t22,2541.13,181.38,0.0,FP1,0,pre,22
e0_t23,2542.8,182.41,0.0,FP1,0,pre,23
e0_t24,2544.45,183.48,0.1333,FP1,0,pre,24
e0_t25,2546.06,184.59,0.5333,FP1,0,pre,25
e0_t26,2547.66,185.74,0.2667,FP1,0,pre,26
e0_t27,2549.22,186.93,0.0,FP1,0,pre,27
e0_t28,2550.75,188.16,0.1333,FP1,0,pre,28
e0_t29,2552.25,189.42,0.2667,FP1,0,pre,29
e0_t30,2553.72,190.72,0.1333,FP1,0,pre,30
e0_t31,2555.16,192.06,0.0,FP1,0,pre,31
e0_t32,2556.57,193.43,0.0,FP1,0,pre,32
e0_t33,2557.94,194.84,0.0,FP1,0,pre,33
e0_t34,2559.28,196.28,0.0,FP1,0,pre,34
e0_t35,2560.58,197.75,0.1333,FP1,0,pre,35
e0_t36,2561.84,199.25,0.0,FP1,0,pre,36
e0_t37,2563.07,200.78,0.0,FP1,0,pre,37
e0_t38,2564.26,202.34,0.0,FP1,0,pre,38
e0_t39,2565.41,203.94,0.0,FP1,0,pre,39
e0_t40,2566.52,205.55,0.0,FP1,0,pre,40
e0_t41,2567.59,207.2,0.1333,FP1,0,pre,41
e0_t42,2568.62,208.87,0.1333,FP1,0,pre,42
e0_t43,2569.61,210.57,0.0,FP1,0,pre,43
e0_t44,2570.55,212.29,0.0,FP1,0,pre,44
e0_t45,2571.46,214.03,0.0,FP1,0,pre,45
e0_t46,2572.32,215.8,0.0,FP1,0,pre,46
e0_t47,2573.14,217.58,0.0,FP1,0,pre,47
e0_t48,2573.91,219.39,0.0,FP1,0,pre,48
e0_t49,2574.64,221.21,0.0,FP1,0,pre,49
e0_t50,2575.32,223.05,0.0,FP1,0,pre,50
e0_t51,2575.96,224.91,0.0,FP1,0,pre,51
e0_t52,2576.56,226.78,0.0,FP1,0,pre,52
e0_t53,2577.1,228.66,0.0,FP1,0,pre,53
e0_t54,2577.6,230.56,0.0,FP1,0,pre,54
e0_t55,2578.06,232.47,0.0,FP1,0,pre,55
e0_t56,2578.46,234.39,0.0,FP1,0,pre,56
e0_t57,2578.82,236.32,0.0,FP1,0,pre,57
e0_t58,2579.13,238.26,0.0,FP1,0,pre,58
e0_t59,2579.4,240.21,0.0,FP1,0,pre,59
e0_t60,2579.61,242.16,0.0,FP1,0,pre,60
e0_t61,2579.78,244.11,0.0,FP1,0,pre,61
e0_t62,2579.9,246.07,0.0,FP1,0,pre,62
e0_t63,2579.98,248.04,0.0,FP1,0,pre,63
e0_t64,2580.0,250.0,0.1333,FP1,0,pre,64
e0_t65,2579.98,251.96,0.1333,FP1,0,pre,65
e0_t66,2579.9,253.93,0.0,FP1,0,pre,66
e0_t67,2579.78,255.89,0.0,FP1,0,pre,67
e0_t68,2579.61,257.84,0.0,FP1,0,pre,68
e0_t69,2579.4,259.79,0.0,FP1,0,pre,69
e0_t70,2579.13,261.74,0.0,FP1,0,pre,70
e0_t71,2578.82,263.68,0.0,FP1,0,pre,71
e0_t72,2578.46,265.61,0.0,FP1,0,pre,72
e0_t73,2578.06,267.53,0.0,FP1,0,pre,73
e0_t74,2577.6,269.44,0.0,FP1,0,pre,74
e0_t75,2577.1,271.34,0.0,FP1,0,pre,75
e0_t76,2576.56,273.22,0.0,FP1,0,pre,76
e0_t77,2575.96,275.09,0.0,FP1,0,pre,77
e0_t78,2575.32,276.95,0.0,FP1,0,pre,78
e0_t79,2574.64,278.79,0.0,FP1,0,pre,79
e0_t80,2573.91,280.61,0.0,FP1,0,pre,80
e0_t81,2573.14,282.42,0.0,FP1,0,pre,81
e0_t82,2572.32,284.2,0.0,FP1,0,pre,82
e0_t83,2571.46,285.97,0.0,FP1,0,pre,83
e0_t84,2570.55,287.71,0.0,FP1,0,pre,84
e0_t85,2569.61,289.43,0.1333,FP1,0,pre,85
e0_t86,2568.62,291.13,0.2667,FP1,0,pre,86
e0_t87,2567.59,292.8,0.2667,FP1,0,pre,87
e0_t88,2566.52,294.45,0.5333,FP1,0,pre,88
e0_t89,2565.41,296.06,0.2667,FP1,0,pre,89
e0_t90,2564.26,297.66,0.0,FP1,0,pre,90
e0_t91,2563.07,299.22,0.0,FP1,0,pre,91
e0_t92,2561.84,300.75,0.1333,FP1,0,pre,92
e0_t93,2560.58,302.25,0.2667,FP1,0,pre,93
e0_t94,2559.28,303.72,0.0,FP1,0,pre,94
e0_t95,2557.94,305.16,0.0,FP1,0,pre,95
e0_t96,2556.57,306.57,0.0,FP1,0,pre,96
e0_t97,2555.16,307.94,0.0,FP1,0,pre,97
e0_t98,2553.72,309.28,0.0,FP1,0,pre,98
e0_t99,2552.25,310.58,0.0,FP1,0,pre,99
e0_t100,2550.75,311.84,0.0,FP1,0,pre,100
e0_t101,2549.22,313.07,0.0,FP1,0,pre,101
e0_t102,2547.66,314.26,0.0,FP1,0,pre,102
e0_t103,2546.06,315.41,0.0,FP1,0,pre,103
e0_t104,2544.45,316.52,0.0,FP1,0,pre,104
e0_t105,2542.8,317.59,0.1333,FP1,0,pre,105
e0_t106,2541.13,318.62,0.1333,FP1,0,pre,106
e0_t107,2539.43,319.61,0.0,FP1,0,pre,107
e0_t108,2537.71,320.55,0.0,FP1,0,pre,108
e0_t109,2535.97,321.46,0.0,FP1,0,pre,109
e0_t110,2534.2,322.32,0.0,FP1,0,pre,110
e0_t111,2532.42,323.14,0.0,FP1,0,pre,111
e0_t112,2530.61,323.91,0.0,FP1,0,pre,112
