id,channel_idx,channel_name,region,timepoint,time_sec,community
0,0,FP1-F7,frontal,0,0.0,2
1,0,FP1-F7,frontal,1,0.0039,2
2,0,FP1-F7,frontal,2,0.0078,2
3,0,FP1-F7,frontal,3,0.0117,2
4,0,FP1-F7,frontal,4,0.0156,2
5,0,FP1-F7,frontal,5,0.0195,2
6,0,FP1-F7,frontal,6,0.0234,2
7,0,FP1-F7,frontal,7,0.0273,2
8,0,FP1-F7,frontal,8,0.0312,2
9,0,FP1-F7,frontal,9,0.0352,2
10,0,FP1-F7,frontal,10,0.0391,2
11,0,FP1-F7,frontal,11,0.043,2
12,0,FP1-F7,frontal,12,0.0469,2
13,0,FP1-F7,frontal,13,0.0508,2
14,0,FP1-F7,frontal,14,0.0547,2
15,0,FP1-F7,frontal,15,0.0586,2
16,0,FP1-F7,frontal,16,0.0625,2
17,0,FP1-F7,frontal,17,0.0664,2
18,0,FP1-F7,frontal,18,0.0703,2
19,0,FP1-F7,frontal,19,0.0742,2
20,0,FP1-F7,frontal,20,0.0781,2
21,0,FP1-F7,frontal,21,0.082,2
22,0,FP1-F7,frontal,22,0.0859,2
23,0,FP1-F7,frontal,23,0.0898,2
24,0,FP1-F7,frontal,24,0.0938,2
25,0,FP1-F7,frontal,25,0.0977,2
26,0,FP1-F7,frontal,26,0.1016,2
27,0,FP1-F7,frontal,27,0.1055,2
28,0,FP1-F7,frontal,28,0.1094,2
29,0,FP1-F7,frontal,29,0.1133,2
30,0,FP1-F7,frontal,30,0.1172,2
31,0,FP1-F7,frontal,31,0.1211,2
32,0,FP1-F7,frontal,32,0.125,2
33,0,FP1-F7,frontal,33,0.1289,2
34,0,FP1-F7,frontal,34,0.1328,2
35,0,FP1-F7,frontal,35,0.1367,2
36,0,FP1-F7,frontal,36,0.1406,2
37,0,FP1-F7,frontal,37,0.1445,2
38,0,FP1-F7,frontal,38,0.1484,2
39,0,FP1-F7,frontal,39,0.1523,2
40,0,FP1-F7,frontal,40,0.1562,2
41,0,FP1-F7,frontal,41,0.1602,2
42,0,FP1-F7,frontal,42,0.1641,2
43,0,FP1-F7,frontal,43,0.168,2
44,0,FP1-F7,frontal,44,0.1719,2
45,0,FP1-F7,frontal,45,0.1758,2
46,0,FP1-F7,frontal,46,0.1797,2
47,0,FP1-F7,frontal,47,0.1836,2
48,0,FP1-F7,frontal,48,0.1875,2
49,0,FP1-F7,frontal,49,0.1914,2
50,0,FP1-F7,frontal,50,0.1953,2
51,0,FP1-F7,frontal,51,0.1992,2
52,0,FP1-F7,frontal,52,0.2031,2
53,0,FP1-F7,frontal,53,0.207,2
54,0,FP1-F7,frontal,54,0.2109,2
55,0,FP1-F7,frontal,55,0.2148,2
56,0,FP1-F7,frontal,56,0.2188,2
57,0,FP1-F7,frontal,57,0.2227,2
58,0,FP1-F7,frontal,58,0.2266,2
59,0,FP1-F7,frontal,59,0.2305,2
60,0,FP1-F7,frontal,60,0.2344,2
61,0,FP1-F7,frontal,61,0.2383,2
62,0,FP1-F7,frontal,62,0.2422,2
63,0,FP1-F7,frontal,63,0.2461,2
64,0,FP1-F7,frontal,64,0.25,2
65,0,FP1-F7,frontal,65,0.2539,2
66,0,FP1-F7,frontal,66,0.2578,2
67,0,FP1-F7,frontal,67,0.2617,2
68,0,FP1-F7,frontal,68,0.2656,2
69,0,FP1-F7,frontal,69,0.2695,2
70,0,FP1-F7,frontal,70,0.2734,2
71,0,FP1-F7,frontal,71,0.2773,2
72,0,FP1-F7,frontal,72,0.2812,2
73,0,FP1-F7,frontal,73,0.2852,2
74,0,FP1-F7,frontal,74,0.2891,2
75,0,FP1-F7,frontal,75,0.293,2
76,0,FP1-F7,frontal,76,0.2969,2
77,0,FP1-F7,frontal,77,0.3008,2
78,0,FP1-F7,frontal,78,0.3047,2
79,0,FP1-F7,frontal,79,0.3086,2
80,0,FP1-F7,frontal,80,0.3125,2
81,0,FP1-F7,frontal,81,0.3164,2
82,0,FP1-F7,frontal,82,0.3203,2
83,0,FP1-F7,frontal,83,0.3242,2
84,0,FP1-F7,frontal,84,0.3281,2
85,0,FP1-F7,frontal,85,0.332,2
86,0,FP1-F7,frontal,86,0.3359,2
87,0,FP1-F7,frontal,87,0.3398,2
88,0,FP1-F7,frontal,88,0.3438,2
89,0,FP1-F7,frontal,89,0.3477,2
90,0,FP1-F7,frontal,90,0.3516,2
91,0,FP1-F7,frontal,91,0.3555,2
92,0,FP1-F7,frontal,92,0.3594,2
93,0,FP1-F7,frontal,93,0.3633,2
94,0,FP1-F7,frontal,94,0.3672,2
95,0,FP1-F7,frontal,95,0.3711,2
96,0,FP1-F7,frontal,96,0.375,2
97,0,FP1-F7,frontal,97,0.3789,2
98,0,FP1-F7,frontal,98,0.3828,2
99,0,FP1-F7,frontal,99,0.3867,2
100,0,FP1-F7,frontal,100,0.3906,2
101,0,FP1-F7,frontal,101,0.3945,2
102,0,FP1-F7,frontal,102,0.3984,2
103,0,FP1-F7,frontal,103,0.4023,2
104,0,FP1-F7,frontal,104,0.4062,2
105,0,FP1-F7,frontal,105,0.4102,2
106,0,FP1-F7,frontal,106,0.4141,2
107,0,FP1-F7,frontal,107,0.418,2
108,0,FP1-F7,frontal,108,0.4219,2
109,0,FP1-F7,frontal,109,0.4258,2
110,0,FP1-F7,frontal,110,0.4297,2
111,0,FP1-F7,frontal,111,0.4336,2
112,0,FP1-F7,frontal,112,0.4375,2
113,0,FP1-F7,frontal,113,0.4414,2
114,0,FP1-F7,frontal,114,0.4453,2
115,0,FP1-F7,frontal,115,0.4492,2
116,0,FP1-F7,frontal,116,0.4531,2
117,0,FP1-F7,frontal,117,0.457,2
118,0,FP1-F7,frontal,118,0.4609,2
119,0,FP1-F7,frontal,119,0.4648,2
120,0,FP1-F7,frontal,120,0.4688,2
121,0,FP1-F7,frontal,121,0.4727,2
122,0,FP1-F7,frontal,122,0.4766,2
123,0,FP1-F7,frontal,123,0.4805,2
124,0,FP1-F7,frontal,124,0.4844,2
125,0,FP1-F7,frontal,125,0.4883,2
126,0,FP1-F7,frontal,126,0.4922,2
127,0,FP1-F7,frontal,127,0.4961,2
128,0,FP1-F7,frontal,128,0.5,2
129,0,FP1-F7,frontal,129,0.5039,2
130,0,FP1-F7,frontal,130,0.5078,2
131,0,FP1-F7,frontal,131,0.5117,2
132,0,FP1-F7,frontal,132,0.5156,2
133,0,FP1-F7,frontal,133,0.5195,2
134,0,FP1-F7,frontal,134,0.5234,2
135,0,FP1-F7,frontal,135,0.5273,2
136,0,FP1-F7,frontal,136,0.5312,2
137,0,FP1-F7,frontal,137,0.5352,2
138,0,FP1-F7,frontal,138,0.5391,2
139,0,FP1-F7,frontal,139,0.543,2
140,0,FP1-F7,frontal,140,0.5469,2
141,0,FP1-F7,frontal,141,0.5508,2
142,0,FP1-F7,frontal,142,0.5547,2
143,0,FP1-F7,frontal,143,0.5586,2
144,0,FP1-F7,frontal,144,0.5625,2
145,0,FP1-F7,frontal,145,0.5664,2
146,0,FP1-F7,frontal,146,0.5703,2
147,0,FP1-F7,frontal,147,0.5742,2
148,0,FP1-F7,frontal,148,0.5781,2
149,0,FP1-F7,frontal,149,0.582,2
150,0,FP1-F7,frontal,150,0.5859,2
151,0,FP1-F7,frontal,151,0.5898,2
152,0,FP1-F7,frontal,152,0.5938,2
153,0,FP1-F7,frontal,153,0.5977,2
