source,target,weight
4096,11776,1.0
4096,19456,1.0
4096,27136,1.0
4096,34816,1.0
4096,42496,1.0
4096,50176,1.0
4096,57856,1.0
4096,65536,1.0
4096,73216,1.0
4096,80896,1.0
4096,88576,1.0
4096,96256,1.0
4096,103936,1.0
4096,111616,1.0
4096,119296,1.0
4096,126976,1.0
4096,134656,1.0
4096,142336,1.0
4096,150016,1.0
4096,157696,1.0
4096,165376,1.0
4096,173056,1.0
4097,11777,1.0
4097,19457,1.0
4097,27137,1.0
4097,34817,1.0
4097,42497,1.0
4097,50177,1.0
4097,57857,1.0
4097,65537,1.0
4097,73217,1.0
4097,80897,1.0
4097,88577,1.0
4097,96257,1.0
4097,103937,1.0
4097,111617,1.0
4097,119297,1.0
4097,126977,1.0
4097,134657,1.0
4097,142337,1.0
4097,150017,1.0
4097,157697,1.0
4097,165377,1.0
4097,173057,1.0
4098,11778,1.0
4098,19458,1.0
4098,27138,1.0
4098,34818,1.0
4098,42498,1.0
4098,50178,1.0
4098,57858,1.0
4098,65538,1.0
4098,73218,1.0
4098,80898,1.0
4098,88578,1.0
4098,96258,1.0
4098,103938,1.0
4098,111618,1.0
4098,119298,1.0
4098,126978,1.0
4098,134658,1.0
4098,142338,1.0
4098,150018,1.0
4098,157698,1.0
4098,165378,1.0
4098,173058,1.0
4099,11779,1.0
4099,19459,1.0
4099,27139,1.0
4099,34819,1.0
4099,42499,1.0
4099,50179,1.0
4099,57859,1.0
4099,65539,1.0
4099,73219,1.0
4099,80899,1.0
4099,88579,1.0
4099,96259,1.0
4099,103939,1.0
4099,111619,1.0
4099,119299,1.0
4099,126979,1.0
4099,134659,1.0
4099,142339,1.0
4099,150019,1.0
4099,157699,1.0
4099,165379,1.0
4099,173059,1.0
4100,11780,1.0
4100,19460,1.0
4100,27140,1.0
4100,34820,1.0
4100,42500,1.0
4100,50180,1.0
4100,57860,1.0
4100,65540,1.0
4100,73220,1.0
4100,80900,1.0
4100,88580,1.0
4100,96260,1.0
4100,103940,1.0
4100,111620,1.0
4100,119300,1.0
4100,126980,1.0
4100,134660,1.0
4100,142340,1.0
4100,150020,1.0
4100,157700,1.0
4100,165380,1.0
4100,173060,1.0
4101,11781,1.0
4101,19461,1.0
4101,27141,1.0
4101,34821,1.0
4101,42501,1.0
4101,50181,1.0
4101,57861,1.0
4101,65541,1.0
4101,73221,1.0
4101,80901,1.0
4101,88581,1.0
4101,96261,1.0
4101,103941,1.0
4101,111621,1.0
4101,119301,1.0
4101,126981,1.0
4101,134661,1.0
4101,142341,1.0
4101,150021,1.0
4101,157701,1.0
4101,165381,1.0
4101,173061,1.0
4102,11782,1.0
4102,19462,1.0
4102,27142,1.0
4102,34822,1.0
4102,42502,1.0
4102,50182,1.0
4102,57862,1.0
4102,65542,1.0
4102,73222,1.0
4102,80902,1.0
4102,88582,1.0
4102,96262,1.0
4102,103942,1.0
4102,111622,1.0
4102,119302,1.0
