source,target,weight
0,7680,1.0
0,15360,1.0
0,23040,1.0
0,30720,1.0
0,38400,1.0
0,46080,1.0
0,53760,1.0
0,61440,1.0
0,69120,1.0
0,76800,1.0
0,84480,1.0
0,92160,1.0
0,99840,1.0
0,107520,1.0
0,115200,1.0
0,122880,1.0
0,130560,1.0
0,138240,1.0
0,145920,1.0
0,153600,1.0
0,161280,1.0
0,168960,1.0
1,7681,1.0
1,15361,1.0
1,23041,1.0
1,30721,1.0
1,38401,1.0
1,46081,1.0
1,53761,1.0
1,61441,1.0
1,69121,1.0
1,76801,1.0
1,84481,1.0
1,92161,1.0
1,99841,1.0
1,107521,1.0
1,115201,1.0
1,122881,1.0
1,130561,1.0
1,138241,1.0
1,145921,1.0
1,153601,1.0
1,161281,1.0
1,168961,1.0
2,7682,1.0
2,15362,1.0
2,23042,1.0
2,30722,1.0
2,38402,1.0
2,46082,1.0
2,53762,1.0
2,61442,1.0
2,69122,1.0
2,76802,1.0
2,84482,1.0
2,92162,1.0
2,99842,1.0
2,107522,1.0
2,115202,1.0
2,122882,1.0
2,130562,1.0
2,138242,1.0
2,145922,1.0
2,153602,1.0
2,161282,1.0
2,168962,1.0
3,7683,1.0
3,15363,1.0
3,23043,1.0
3,30723,1.0
3,38403,1.0
3,46083,1.0
3,53763,1.0
3,61443,1.0
3,69123,1.0
3,76803,1.0
3,84483,1.0
3,92163,1.0
3,99843,1.0
3,107523,1.0
3,115203,1.0
3,122883,1.0
3,130563,1.0
3,138243,1.0
3,145923,1.0
3,153603,1.0
3,161283,1.0
3,168963,1.0
4,7684,1.0
4,15364,1.0
4,23044,1.0
4,30724,1.0
4,38404,1.0
4,46084,1.0
4,53764,1.0
4,61444,1.0
4,69124,1.0
4,76804,1.0
4,84484,1.0
4,92164,1.0
4,99844,1.0
4,107524,1.0
4,115204,1.0
4,122884,1.0
4,130564,1.0
4,138244,1.0
4,145924,1.0
4,153604,1.0
4,161284,1.0
4,168964,1.0
5,7685,1.0
5,15365,1.0
5,23045,1.0
5,30725,1.0
5,38405,1.0
5,46085,1.0
5,53765,1.0
5,61445,1.0
5,69125,1.0
5,76805,1.0
5,84485,1.0
5,92165,1.0
5,99845,1.0
5,107525,1.0
5,115205,1.0
5,122885,1.0
5,130565,1.0
5,138245,1.0
5,145925,1.0
5,153605,1.0
5,161285,1.0
5,168965,1.0
6,7686,1.0
6,15366,1.0
6,23046,1.0
6,30726,1.0
6,38406,1.0
6,46086,1.0
6,53766,1.0
6,61446,1.0
6,69126,1.0
6,76806,1.0
6,84486,1.0
6,92166,1.0
6,99846,1.0
6,107526,1.0
6,115206,1.0
6,122886,1.0
6,130566,1.0
6,138246,1.0
6,145926,1.0
6,153606,1.0
6,161286,1.0
6,168966,1.0
7,7687,1.0
7,15367,1.0
7,23047,1.0
7,30727,1.0
7,38407,1.0
7,46087,1.0
7,53767,1.0
7,61447,1.0
7,69127,1.0
7,76807,1.0
7,84487,1.0
7,92167,1.0
7,99847,1.0
7,107527,1.0
7,115207,1.0
7,122887,1.0
7,130567,1.0
7,138247,1.0
7,145927,1.0
7,153607,1.0
7,161287,1.0
7,168967,1.0
8,7688,1.0
8,15368,1.0
8,23048,1.0
8,30728,1.0
8,38408,1.0
8,46088,1.0
8,53768,1.0
8,61448,1.0
8,69128,1.0
8,76808,1.0
8,84488,1.0
8,92168,1.0
8,99848,1.0
8,107528,1.0
8,115208,1.0
8,122888,1.0
8,130568,1.0
8,138248,1.0
8,145928,1.0
8,153608,1.0
8,161288,1.0
8,168968,1.0
9,7689,1.0
9,15369,1.0
9,23049,1.0
9,30729,1.0
9,38409,1.0
9,46089,1.0
9,53769,1.0
9,61449,1.0
9,69129,1.0
9,76809,1.0
9,84489,1.0
9,92169,1.0
9,99849,1.0
9,107529,1.0
9,115209,1.0
9,122889,1.0
9,130569,1.0
9,138249,1.0
9,145929,1.0
9,153609,1.0
9,161289,1.0
9,168969,1.0
10,7690,1.0
10,15370,1.0
10,23050,1.0
10,30730,1.0
10,38410,1.0
10,46090,1.0
10,53770,1.0
10,61450,1.0
10,69130,1.0
10,76810,1.0
10,84490,1.0
10,92170,1.0
10,99850,1.0
10,107530,1.0
10,115210,1.0
10,122890,1.0
10,130570,1.0
10,138250,1.0
10,145930,1.0
10,153610,1.0
10,161290,1.0
10,168970,1.0
11,7691,1.0
11,15371,1.0
11,23051,1.0
11,30731,1.0
11,38411,1.0
11,46091,1.0
11,53771,1.0
11,61451,1.0
11,69131,1.0
11,76811,1.0
11,84491,1.0
11,92171,1.0
11,99851,1.0
11,107531,1.0
11,115211,1.0
11,122891,1.0
11,130571,1.0
11,138251,1.0
11,145931,1.0
11,153611,1.0
11,161291,1.0
11,168971,1.0
12,7692,1.0
12,15372,1.0
12,23052,1.0
12,30732,1.0
12,38412,1.0
12,46092,1.0
12,53772,1.0
12,61452,1.0
12,69132,1.0
12,76812,1.0
12,84492,1.0
12,92172,1.0
12,99852,1.0
12,107532,1.0
12,115212,1.0
12,122892,1.0
12,130572,1.0
12,138252,1.0
12,145932,1.0
12,153612,1.0
12,161292,1.0
12,168972,1.0
13,7693,1.0
13,15373,1.0
13,23053,1.0
13,30733,1.0
13,38413,1.0
13,46093,1.0
13,53773,1.0
13,61453,1.0
13,69133,1.0
13,76813,1.0
13,84493,1.0
13,92173,1.0
13,99853,1.0
13,107533,1.0
13,115213,1.0
13,122893,1.0
13,130573,1.0
13,138253,1.0
13,145933,1.0
13,153613,1.0
13,161293,1.0
13,168973,1.0
14,7694,1.0
14,15374,1.0
14,23054,1.0
14,30734,1.0
14,38414,1.0
14,46094,1.0
14,53774,1.0
14,61454,1.0
14,69134,1.0
14,76814,1.0
14,84494,1.0
14,92174,1.0
14,99854,1.0
14,107534,1.0
14,115214,1.0
14,122894,1.0
14,130574,1.0
14,138254,1.0
14,145934,1.0
14,153614,1.0
14,161294,1.0
14,168974,1.0
15,7695,1.0
15,15375,1.0
15,23055,1.0
15,30735,1.0
15,38415,1.0
15,46095,1.0
15,53775,1.0
15,61455,1.0
15,69135,1.0
15,76815,1.0
15,84495,1.0
15,92175,1.0
15,99855,1.0
15,107535,1.0
15,115215,1.0
15,122895,1.0
15,130575,1.0
15,138255,1.0
15,145935,1.0
15,153615,1.0
15,161295,1.0
15,168975,1.0
16,7696,1.0
16,15376,1.0
16,23056,1.0
16,30736,1.0
16,38416,1.0
16,46096,1.0
16,53776,1.0
16,61456,1.0
16,69136,1.0
16,76816,1.0
16,84496,1.0
16,92176,1.0
16,99856,1.0
16,107536,1.0
16,115216,1.0
16,122896,1.0
16,130576,1.0
16,138256,1.0
16,145936,1.0
16,153616,1.0
16,161296,1.0
16,168976,1.0
17,7697,1.0
17,15377,1.0
17,23057,1.0
17,30737,1.0
17,38417,1.0
17,46097,1.0
17,53777,1.0
17,61457,1.0
17,69137,1.0
17,76817,1.0
17,84497,1.0
17,92177,1.0
17,99857,1.0
17,107537,1.0
17,115217,1.0
17,122897,1.0
17,130577,1.0
17,138257,1.0
17,145937,1.0
17,153617,1.0
17,161297,1.0
17,168977,1.0
18,7698,1.0
18,15378,1.0
18,23058,1.0
18,30738,1.0
18,38418,1.0
18,46098,1.0
18,53778,1.0
18,61458,1.0
18,69138,1.0
18,76818,1.0
18,84498,1.0
18,92178,1.0
18,99858,1.0
18,107538,1.0
18,115218,1.0
18,122898,1.0
18,130578,1.0
18,138258,1.0
18,145938,1.0
18,153618,1.0
18,161298,1.0
18,168978,1.0
19,7699,1.0
19,15379,1.0
19,23059,1.0
19,30739,1.0
19,38419,1.0
19,46099,1.0
19,53779,1.0
19,61459,1.0
19,69139,1.0
19,76819,1.0
19,84499,1.0
19,92179,1.0
19,99859,1.0
19,107539,1.0
19,115219,1.0
19,122899,1.0
19,130579,1.0
19,138259,1.0
19,145939,1.0
19,153619,1.0
19,161299,1.0
19,168979,1.0
20,7700,1.0
20,15380,1.0
20,23060,1.0
20,30740,1.0
20,38420,1.0
20,46100,1.0
20,53780,1.0
20,61460,1.0
20,69140,1.0
20,76820,1.0
20,84500,1.0
20,92180,1.0
20,99860,1.0
20,107540,1.0
20,115220,1.0
20,122900,1.0
20,130580,1.0
20,138260,1.0
20,145940,1.0
20,153620,1.0
20,161300,1.0
20,168980,1.0
21,7701,1.0
21,15381,1.0
21,23061,1.0
21,30741,1.0
21,38421,1.0
21,46101,1.0
21,53781,1.0
21,61461,1.0
21,69141,1.0
21,76821,1.0
21,84501,1.0
21,92181,1.0
21,99861,1.0
21,107541,1.0
21,115221,1.0
21,122901,1.0
21,130581,1.0
21,138261,1.0
21,145941,1.0
21,153621,1.0
21,161301,1.0
21,168981,1.0
22,7702,1.0
22,15382,1.0
22,23062,1.0
22,30742,1.0
22,38422,1.0
22,46102,1.0
22,53782,1.0
22,61462,1.0
22,69142,1.0
22,76822,1.0
22,84502,1.0
22,92182,1.0
22,99862,1.0
22,107542,1.0
22,115222,1.0
22,122902,1.0
22,130582,1.0
22,138262,1.0
22,145942,1.0
22,153622,1.0
22,161302,1.0
22,168982,1.0
23,7703,1.0
23,15383,1.0
23,23063,1.0
23,30743,1.0
23,38423,1.0
23,46103,1.0
23,53783,1.0
23,61463,1.0
23,69143,1.0
23,76823,1.0
23,84503,1.0
23,92183,1.0
23,99863,1.0
23,107543,1.0
23,115223,1.0
23,122903,1.0
23,130583,1.0
23,138263,1.0
23,145943,1.0
23,153623,1.0
23,161303,1.0
23,168983,1.0
24,7704,1.0
24,15384,1.0
24,23064,1.0
24,30744,1.0
24,38424,1.0
24,46104,1.0
24,53784,1.0
24,61464,1.0
24,69144,1.0
24,76824,1.0
24,84504,1.0
24,92184,1.0
24,99864,1.0
24,107544,1.0
24,115224,1.0
24,122904,1.0
24,130584,1.0
24,138264,1.0
24,145944,1.0
24,153624,1.0
24,161304,1.0
