id,channel_idx,channel_name,region,timepoint,time_sec,community
0,0,FP1-F7,frontal,0,0.0,0
1,0,FP1-F7,frontal,1,0.0039,1
2,0,FP1-F7,frontal,2,0.0078,2
3,0,FP1-F7,frontal,3,0.0117,3
4,0,FP1-F7,frontal,4,0.0156,4
5,0,FP1-F7,frontal,5,0.0195,5
6,0,FP1-F7,frontal,6,0.0234,6
7,0,FP1-F7,frontal,7,0.0273,7
8,0,FP1-F7,frontal,8,0.0312,8
9,0,FP1-F7,frontal,9,0.0352,9
10,0,FP1-F7,frontal,10,0.0391,10
11,0,FP1-F7,frontal,11,0.043,11
12,0,FP1-F7,frontal,12,0.0469,12
13,0,FP1-F7,frontal,13,0.0508,13
14,0,FP1-F7,frontal,14,0.0547,14
15,0,FP1-F7,frontal,15,0.0586,15
16,0,FP1-F7,frontal,16,0.0625,16
17,0,FP1-F7,frontal,17,0.0664,17
18,0,FP1-F7,frontal,18,0.0703,18
19,0,FP1-F7,frontal,19,0.0742,19
20,0,FP1-F7,frontal,20,0.0781,20
21,0,FP1-F7,frontal,21,0.082,21
22,0,FP1-F7,frontal,22,0.0859,22
23,0,FP1-F7,frontal,23,0.0898,23
24,0,FP1-F7,frontal,24,0.0938,24
25,0,FP1-F7,frontal,25,0.0977,25
26,0,FP1-F7,frontal,26,0.1016,26
27,0,FP1-F7,frontal,27,0.1055,27
28,0,FP1-F7,frontal,28,0.1094,28
29,0,FP1-F7,frontal,29,0.1133,29
30,0,FP1-F7,frontal,30,0.1172,30
31,0,FP1-F7,frontal,31,0.1211,31
32,0,FP1-F7,frontal,32,0.125,32
33,0,FP1-F7,frontal,33,0.1289,33
34,0,FP1-F7,frontal,34,0.1328,34
35,0,FP1-F7,frontal,35,0.1367,35
36,0,FP1-F7,frontal,36,0.1406,36
37,0,FP1-F7,frontal,37,0.1445,37
38,0,FP1-F7,frontal,38,0.1484,38
39,0,FP1-F7,frontal,39,0.1523,39
40,0,FP1-F7,frontal,40,0.1562,40
41,0,FP1-F7,frontal,41,0.1602,41
42,0,FP1-F7,frontal,42,0.1641,42
43,0,FP1-F7,frontal,43,0.168,43
44,0,FP1-F7,frontal,44,0.1719,44
45,0,FP1-F7,frontal,45,0.1758,45
46,0,FP1-F7,frontal,46,0.1797,46
47,0,FP1-F7,frontal,47,0.1836,47
48,0,FP1-F7,frontal,48,0.1875,48
49,0,FP1-F7,frontal,49,0.1914,49
50,0,FP1-F7,frontal,50,0.1953,50
51,0,FP1-F7,frontal,51,0.1992,51
52,0,FP1-F7,frontal,52,0.2031,52
53,0,FP1-F7,frontal,53,0.207,53
54,0,FP1-F7,frontal,54,0.2109,54
55,0,FP1-F7,frontal,55,0.2148,55
56,0,FP1-F7,frontal,56,0.2188,56
57,0,FP1-F7,frontal,57,0.2227,57
58,0,FP1-F7,frontal,58,0.2266,58
59,0,FP1-F7,frontal,59,0.2305,59
60,0,FP1-F7,frontal,60,0.2344,60
61,0,FP1-F7,frontal,61,0.2383,61
62,0,FP1-F7,frontal,62,0.2422,62
63,0,FP1-F7,frontal,63,0.2461,63
64,0,FP1-F7,frontal,64,0.25,64
65,0,FP1-F7,frontal,65,0.2539,65
66,0,FP1-F7,frontal,66,0.2578,66
